id,text,label,source,domain,topic_id,topic,prompt,word_count,sentence_count,avg_sentence_length,std_sentence_length,token_count,needs_manual_review
human_essay_001_essay0,"For many years people have been debating whether or not to keep the Electoral College or change to election by popular vote for the president of the United States. According to source 1, the electoral college was established as ""a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens."" There are few positive effects of the Electoral College, however, there are many negative effects. I am in favor of changing the United States' election process to election by popular vote because there are many risks with the Electoral College, the Electoral College is outdated, and lastly, the Electoral College is unfair to voters in many states.

Currently, while using the Electoral College, the United States takes multiple risks. Some of the major risks were stated in source two. One of the major risks included, what of the elector put the vote in for the candidate he wished? Of course no matter what the situation, there will be risks to take. However, when those risks become actions, and happen more than once, people put up a guard and start to question whether or not the process is trustworthy. A sentence in source three declared, ""each party selects a slate of electors trusted to vote for the party's nominee and that trust is rarely betrayed. Americans are expected to trust a slate of electors whom we know little about personally, and trust is a personal thing. Trust is something that has to be earned. Therefore, when our trust is betrayed more than once because of the process the Electoral College, there is no way to earn that trust back once again. Without the Electoral College, this would not be an issue.

Not only is the Electoral College risky, but it is also outdated. The Electoral College was created by the founding fathers, over a century ago. With new technology, and new systems forming, the election process should be more modern. Also, when it was decided to use the Electoral College, there were fewer people in the United States. Currently, in modern day, the population is much greater. A country with a greater population needs a modern election selection.

The Electoral College is very unfair to states that do not have the ability to make an impact in the election. If the election process were changed to elected by popular vote, smaller states would have the ability to make their vote matter.

The Electoral College needs to be changed immediately in able for citizens to stop worrying about taking major risks, so our country as more of a modern election process, and so every vote counts. Changing to election by popular vote could make the United States a better country.",0,human_kaggle,essay,essay_001,Universal Basic Income,"Write an argumentative essay on 'Universal Basic Income'.\n\nYour essay should:\n- Discuss the following aspects: economic feasibility, impact on work ethic, poverty reduction, inflation risks\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",461,24,19.21,,519,False
human_essay_001_essay1,"Why is is beneficial to have limited car usage? This is a question that has several answers varying from personal health, to economic gain, to environmental gain. Though the car has been the symbol of the modern age, there seem to be few downsides to limiting the usage of these transportation units.

Cars have given mankind the ability to cross great distances in a short amount of time, allowing face to face communication, fast trade between companies and nations, and access to medical and personal care otherwise out of reach. However, the car has also caused lack of mobility, cutting back on people's exercise as they no longer have to walk very far to get from point A to point B, the overwhelming responsibility and cost of owning a car has also put a mental strain on people, causing needless stress. Of course there are places to go and things to do that require traveling large distances, and no one could be a expected to walk from New York to L.A., so car usage should not be utterly removed, but rather restricted.

So how do people properly regulate their car usage? Several different governments and cities have debated this, trying different tactics and having varied results. As shown in Elisabeth Rosenthal's essay, ""In German Suburbs, Life Goes On Without Cars"" , we are shown the result of a community where 70% of the people do not own cars, but with no less activity than their counterparts in cities weighed down by cars. There seem to be several advantages in this city without cars, one being that people seem to be happier. Heidun Walter, a media trainer with two children informed Rosenthal, ""When I had a car I was always tense. I'm much happier this way,"", the lack of cars seems to reduce stress, without restricting life.

So perhaps this is not enough reason for some to limit their usage of the car, alright, there are many more reasons why this is beneficial. One that is quite familiar to all is the issue of greenhouse gas emissions. The majority of cars produce greenhouse gas emissions, polluting the environment and quickening the death of the planet, Rosenthal's essay "" In German Suburbs, Life Goes On Without Cars, "", we are told clearly that, ""Passenger cars are responsible for 12 percent of greenhouse gass emissions in Europe... and up to 50 percent in some carintensive areas in the United States. "" This may seem like very little, but with the amount of cars in the world, these numbers add up to staggering damage to the environment. Robert Duffer wrote an essay telling of these harmful effects in a shocking way: "" "". This city had so much pollution that they had to ban the use of cars, ""Paris had 147 micrograms of particulate matter PM per cubic meter compared with 114 in Brussels and 79.7 in London,"". This pollution is not only in France, but across the globe, it is only a matter of time before it destroys the ecosystems on Earth, and cars are one of the biggest contributers to this destruction, coming in second only to power plants.

One Colombian city chose not to wait until such things happened, instead choosing to promote limited car usage in a more peacful manner, as described by Andrew Selsky's essay, "" Carfree day is spinning into a big hit in Bogota "". This city of 7 million people started a program that chooses one day a year to bann all car usage with the exception of buses and taxis, fining violators with 25. One main benefit has come out of this: People are more active phisically and therefore have less stress. Selsky's essay can be quoted saying, "" millions of Colombians hiked, biked, skated, or took buses to work during a carfree day yesterday,"". The benefits of more physical movement are obvious, but one is not so obvious: It lowers stress. A businessman by the name of Carlos Arturo Plaza said, ""It is a good opportunity to take away stress and lower air pollution"". If a simple day can cause such drastic changes in the environment, peoples health, and lower stress, why not go ahead and do it?

In summary, while cars help us get from point A to point B quickly, and are very useful when traveling over great distance, they also cause great harm. A simple cut back on using cars would allow the air pollution to be reduced drastically, promote physical movement and personal health, and help productivity and creativity by reducing stress.",0,human_kaggle,essay,essay_001,Universal Basic Income,"Write an argumentative essay on 'Universal Basic Income'.\n\nYour essay should:\n- Discuss the following aspects: economic feasibility, impact on work ethic, poverty reduction, inflation risks\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",750,28,26.79,,868,False
human_essay_001_essay2,"When cars were first introduced into society it was the most awestruck phenomenon to occur. There was nothing better than the sight of a person's first car and the feeling of independence that came with it. But now that technology has shorten distances between countries and has made telecommunication so much more accessible. People should engage in limiting their car usage because it betters personal health, improves the environment, and leads to economic prosperity while still gaining all the benefits that come from using a car.

When the usage of cars is limited it often leads to better health benefits. This is true because when people are restricted on their driving it forces them to resort to healthier, more proactive alternatives. For example, instead of driving somewhere people are now having to get out and walk or ride a bike. This leads to regular exercise without having to think about it and decreases overall stress levels. In the article ""In German Suburb, Life Goes on Without Cars"" Heidrum Walter, a media trainer and mother of two explained, ""When I had a car I was always tense, I'm much happier this way"". Heidrum, a citizen of the Vauban community in which everyone has given up their cars, describes how the nonusage of cars has bettered her life and in turn has actually made her a happier person. In addition, when a high usage of cars is present it creates brutal smog that can perpetuate health issues. In the article ""Paris bans driving due to smog"" Robert Duffer states how congestion lead to smog in Beijing in which he states ""Beijing, China is known as one of the most polluted cities in the world"". The impact of this is that when people are more active and choose not to exasterbate their driving usage, it will lead to global decreases in smog and in fat related illnesses such as obesity, high blood plessure, diabetes, and other various things that have plagued the nation and taken the lives of so many people.

Limiting Motor Vehicles usage reduces the amount of carbon emissions and pollution in the air. Cars exert so much greenhouse gas emissions that degrades the air in the environment.In the article ""In German Suburb, Life goes on Without Cars"" Elisabeth Rosenthal gives the analogy that, ""...an increasing number of private cars owned by the burgeoning middles class are choking cities"". Elisabeth Rosenthal further quantifies the extent to which cars have increasing become the culprit of pollution, ""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe and up to 50 percent in some carintensive areas in the United States"". The impact of this is that when cars are used less often it betters the environment which is what mankind relies on for survival.

An increase in a healthy workforce and better environmental communities leads to greater economic prosperity. When people choose to drive less it often creates a riple effect. This is true because a healthier workforce is present it leads to more productivity. In addition, a more prosperous environment and less pollution exerted decreases operational costs. As a result Andrew Selsky in his article ""Carfree day is spinning into a big hit in Bogota"" explains the various economic effects that less car usage has made, ""Parks and sports centers have bloomed throughout the city.....and new restaurants and upscale shopping distrcits have cropped up"". The impact of this is that with more economic leverage communities are more equipped to invest and strengthen other areas such as education and job creation.

In conclusion, people should limit their driving andor car usage because it provides three benefits. First, when people have to resort to proactive alternatives it improves their person health and decreases stress levels. Second, not using cars eliminates all the environmental harms that come from a car such as greenhouse gas emissions. And lastly, when people are more active and the environment is no longer depleted, communities experience greater economic longevity.",0,human_kaggle,essay,essay_001,Universal Basic Income,"Write an argumentative essay on 'Universal Basic Income'.\n\nYour essay should:\n- Discuss the following aspects: economic feasibility, impact on work ethic, poverty reduction, inflation risks\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",662,27,24.52,,738,False
human_essay_001_essay3,"A relevant topic in today's society that many people often discuss is the reduction of motor vehicle use. Limited use of vehicles such as cars, buses, and trucks can have great effects on the environment. Most of the effects are beneficial to the environment such as the reduction of smog which can ameliorate the horrible impact we have already had on the environment.

According to source 1, limited use of of motor vehicles will be less harmful to the environment. Twelve percent of greenhouse gas emissions in Europe come from passenger cars. This may not sound like much, but it adds up, especially when you factor in the gas emission from the United States which is more than four times what it is in Europe. Source 1 also claims that less use of motor vehicles will lower people's stress and will make children more social because they will be able to play near the streets without having to worry about being hit by a car.

All of these sources claim that motor vehicle reduction will also reduce smog and greenhouse gas emissions. One source that supports this claim is source 2, not only does Paris emit more greenhouse gases than any other city in Europe, they now have two days in which people who drive their cars are subject to a 22 euro 31 U.S. dollar fine.

Bogota, Colombia is proving to be the most successful in attempting to lower greenhouse gas emission. According to source 3 carfree day has been started in which citizens may not drive their vehicles without being subject to a twentyfive dollar fine. Most citizens obey this law and the amount of traffic jams is reduced to empty streets other than public buses. The increase in amount of people riding their bikes caused sidewalks to be repaired and replaced which improves the aesthetics of the city. Several small restaurants and various other businesses saw an increased income. Along with sources 1 and 2, source 3 claims that citizens are less stressed when not driving a motor vehicle. Along with this statement. source 3 also claims that people will begin to be more socially active when they are carpooled to school and other places.

Source 4 takes place not in Europe, not in South America, but in our own country, the United States of America. In the last few years, the United States has seen a decrease in the amount of people driving motor vehicles. We have not, however seen a decrease on our impact on the emission of greenhouse gases. This is because though people are driving less, many people in this country drive large, gas guzzling Hummers and trucks which emit more gases than any other vehicle. If people stopped driving those vehicles, we would definately see a decrease in greenhouse gases. We've seen it happen in Europe because large personal transport trucks are seldom driven in Europe.

Many advantages will be seen when the act of driving a motor vehicle becomes rarer. These advantages include our emission of greenhouse gases, improved social interactions, people who are less stressed, and an overall more cheerful environment. Multiple sources make these claims, and many countries in Europe such as France and countries in South America have placed certain days in which citizens don't drive cars. These days have proven many of these claims that support the assertion that there are multiple advantages to limited car usage.",0,human_kaggle,essay,essay_001,Universal Basic Income,"Write an argumentative essay on 'Universal Basic Income'.\n\nYour essay should:\n- Discuss the following aspects: economic feasibility, impact on work ethic, poverty reduction, inflation risks\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",569,27,21.07,,622,False
human_essay_001_essay4,"""All of our development since World War II has been centered on the car, and that will have to change."", stated David Goldberg, according to author Elisabeth Rosenthal. Fellow citizens, the time has come to address the complications of our over usage of cars. There are many advantages to limiting car usage that you need to take into consideration. Less stress, reduced air pollution, and less money spent on such a worthless form of transportation. Sounds like an intriguing advantage, right?!

First off, stress can be caused greatly by cars. Although, this may sound absurd, just put some thought into it. With a limit on car usage, you hardly have to worry about your kid crossing the street by themselves. Say bye bye, to car hijackers! They are no longer a problem, neither is getting in an accident. Stop worrying, because do to the limit on car usage, your chances of caos are finite, they are no longer limitless.

Furthermore, air pollution is a big economic problem today. Limiting car usage means a great deal of air pollution reduction. In article, "" Paris Bans Driving Due To Smog"", we see congestion was down 60 percent, after five days, five days alone! Can you imagine how much better our health would be? We see many cases of lung cancer, due to smoke in the lungs, putting a limit on many lives. Also, air pollution is as well bed for mother nature herself, killing trees, our vital resource we not only rely on to put a roof over our heads, but also our whole source of living. Air pollution, is a definite economic problem that we can get rid of simply with the reduction of car usage.

Is your money being well spent? Not really, and you can thank the monster sitting in your driving, hiding in plain site. Cars need lots of attention. We're talking about more attention than an infant! You have to provide it with insurance, monthly bills and so much more. For instance, if you were to get a flat tire, you have to replace it with a spare, tand then that flat has to also get fixed. Money, money, and more money just being stolen right from under your nose, while gas prises are piling higher!

To conclude, if you were to limit your car usage you shall find many advantages, not only for you but for the economy. Stress, is a never ending cycle with the hunk of parts you may call your, ""friend"". A reduction in air pollution has a great amount of benefits. Next time, you decide to take a ride out with your buddies in your car, take a nice good thought about all the exhaust possibly filling up your lungs, and if not yours then someone else's. Lastly, you no longer will have to worry about your money jumping out your pocket.",0,human_kaggle,essay,essay_001,Universal Basic Income,"Write an argumentative essay on 'Universal Basic Income'.\n\nYour essay should:\n- Discuss the following aspects: economic feasibility, impact on work ethic, poverty reduction, inflation risks\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",479,31,15.45,,564,False
human_essay_002_essay0,"After World War II cars began to become more and more popular, and ever since then they cars have done more harm than good, air pollution, traffic and just harming health are a few things cars have harmed citizens with. Many cities are doing things to help cut down the ""smog"" in their area by creating driving bans for a day or even a week Paris bans driving due to smog 10 PBDS. It starts with one and grows into something much larger, and hopefully that shows in this situation. This essay is going to go into detail on why it is needed to cut back on car usage and maybe one day cars will not be needed.

People began pointing the finger at diesels for the air pollution in France after it was made obvious that they make up 67% of the vehicles in this area, compared to around 50% in the other parts of Western Europe PBDS 16. Greenhouse gasses are harming our atmosphere by trapping the warm air in. If the habits of this generation continue than Earth will not be here much longer. A very popular vehicle, passenger cars, make up to 50% of the greenhouse gasses in some of the busy areas in the US. People are all about convenience, and cars do much of that instead of riding a bike for 30 minutes we can drive there in five without breaking a sweat. But it is time to break those running shoes out because our planet is dying. If everyone realized the reality behind greenhouse gassesand the pollution we are putting into the air, we would not be in this situation.

In Paris they needed to cut back on the pollution, so they took action by having a day where motorists with even numbered license plates could drive and the next day, oddnumbers. After almost a week the smog had cleared and everyone was back on the road again. But during this time period it was recorded that the congestion was down 60% in the capital of France alone PBDS 14. If everyday was like this, traveling to and from places would be easier and less time consuming. Although it was not much it starts with a little and grows to a lot. New York has a new bike program which adds up to much less if you count in the amount of tolls and gas they motorists do from day to day The End of Car Culture 37 ECC. People are begginning to notice the benefits of riding your bike to work rather than driving, you are saving money and the Earth.

Health is important to us and the future. This Earth is running out of clean air between pollution and deforistation when will it stop. The chairman for Ford Motor Company is creating a plan in which ""pedestirans, bicycles, private cars, commercialand public transportation traffic are woven into a connected network to save time, conserve resources, lower emissions and improve safety"" ECC 43. If all car producers were as aware as Bill Ford they could join together to make this world healthier and cleanier. But will it be enough, but by limiting cars usage all together our atmosphere could grow back to the potential it should be at, not trapping the warm air in.

After Bogota had their car free day, sidewalks were replaced and parks were packed. Almost everyone participated with either hiking, biking, skating or taking the bus. The goal, which they succeeded with was to reduce their smog Carfree day is spinning into a big hit in Bogota 28. What if all the countries did as so, it could start as a day, and grow into a week, a month, maybe forever. It would help us, our health and the future that has yet to come. After reading this essay it is obvious to why limiting car usage is essential to life. It has grown into something no one could have imagined and now that it is here, when will it be enough.",0,human_kaggle,essay,essay_002,Four-Day Work Week,"Write an argumentative essay on 'Four-Day Work Week'.\n\nYour essay should:\n- Discuss the following aspects: employee mental health, corporate productivity, economic implications, work-life balance\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",674,30,22.47,,742,False
human_essay_002_essay1,"They come in red, blue, green, black, and white. They beep and honk while they ride on highways and transport people form place to place. Cars are everclear. What would the world be like if we didnt have cars? What are the benefits of life without cars? Life with out cars benefits the environment, and peoples' health.

First of all, the elimination of cars helps the environment. ""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe...and up to 50 percent in some carintensive areas in the United States"" 5. In other words, cars are highly responsible for the harmful gases that pollute our atmosphere and cause global warming. In Paris, a partial driving ban was issued to clear the air after days of high air pollution rates. After the driving ban, ""congestion was down 60 percent in the capital of France after fivedays of intensifying smog"" 14. By using cars less, citizens can reduce pollution and help keep our earth clean and safe. statistics show that fewer people are using cars around the world. ""A study last year found that driving by young people decreased 23 percent between 2001 and 2009"" 41. Sociologists believe that this trend will continue and possibly increase. They believe it will ""have beneficial implications for carbon emissions and the environment, since transportation is the second largest source of America's emissions"" 34.

Another benefit to limiting car usage is that it will benefit the health of citizens both mentally and physically. In the German suburb of Vauban, citizens have given up their cars. A resident there says ""when i had a car I was always tense. I'm much happier this way"" 3. Limiting car use also limits the frequency of traffic jams, accidents, and unfriendly drivers in a hurry along with the stress and frustration that accompany them. In colombians capital, bogota, the Day Without Cars has had many participants. One of whom said ""It's a good opportunity to take away stress"" referring to the event. 24 limiting stress can have major benefits to a persons health and mental wellbeing. limiting the use of cars does'nt just positively effect mental health, it can positively influence physical health. In bogota, Colombia, the carfree day inspired residents to ""hike, bike, skate, or take buses to work "" 20. Excersize releases endorphins which are chemicals in the brain related to pleasure. Many people that excersize regularly are happier then when they don't. By limiting car usage,citizens are more inspired to excersize making them happier and healthier.

In sumation, a life without cars means a healthy, longlasting planet along with a happy, relaxed, and healthy population. Even though cars are conveint, they have many negative side effects. Next time you want to go for a ride, think of all the benefits of limiting them. Rember what a breath of fresh air feels like because the gasses from cars might mean they will be gone soon. Get used to angry faces honking horns, and being given ""the bird"" by angry drivers because with cars come many conveiniences, but also many frustations.",0,human_kaggle,essay,essay_002,Four-Day Work Week,"Write an argumentative essay on 'Four-Day Work Week'.\n\nYour essay should:\n- Discuss the following aspects: employee mental health, corporate productivity, economic implications, work-life balance\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",514,34,15.12,,602,False
human_essay_002_essay2,"In Vauban, Germany, citizens have made the decision to not use cars. To some people, this may be something that they could never imagine themselves doing, because it would make life more complicated. However, these people are pleased with their decision and would not have it any other way. Furthermore, there are many advantages to making this change. By limiting car usage, citizens can improve their own health and economic state.

By making the decision to stop using cars, one can become healthier, both mentally and physically. One citizen who has already taken this step said,""when I had a car I was always tense. I'm much happier this way"" Rosenthal 3. Many people who chose to limit their car usage, decided to walk or ride bikes instead. By chosing the alternative, they are less stressed. There is something soothing about walking down the road in a quiet and peaceful environment. Walking gives one time to reflect and think, while driving requires concentration and can be stressful. In addition to improving one's mental health, limiting car usage can also improve one's physical health. Pollution from the air can take a toll on someone's physical health and the environment around them. ""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe... and up to 50 percent in some carintensive areas in the United States"" Rosenthal 5. Pollution poisons the air of most cities where people live and breathing the pollution is not healthy for an individual. In cities like Beijing, inhabitants wear air filters over their mouths in hopes fo escaping the pollution. Limiting car usage can help improve air quality quickly. For example, after having multiple days of intense smog, Paris decided to ban cars with evennumbered plates for one day. After this one day of limited car usage, ""the smog cleared enough Monday for the ruling French party to rescind the ban for oddnumbered plates on Tuesday"" Duffer 19.

Another advantage to limiting cars is that it could mean economic improvement for individuals and countries. The banning of cars can mean improvement in the appearance of cities, which can have positive impacts on the economy of cities. ""Parks and sports centers also have bloomed throughout the city uneven, pitted sidewalks have beeen replaced by broad, smooth sidewalks"" Selsky 28. These improvements in the city can draw more people to them and stimulate the economy in places that have had difficulty before. In addition, individuals can save money by carpooling, biking, walking, or using public transit as an alternative optopn to driving. During the 2013 rececession, people were forced to sell their cars due to lack of money. However, after they recovered from this, they decided not to return to car usage due to their content in the lifestyle they had chosen Rosenthal 32 In conclusion, limiting one's usage of cars can have only positive impacts on one's life. This decision can have lasting impacts one's happiness, the environment, and the economy.",0,human_kaggle,essay,essay_002,Four-Day Work Week,"Write an argumentative essay on 'Four-Day Work Week'.\n\nYour essay should:\n- Discuss the following aspects: employee mental health, corporate productivity, economic implications, work-life balance\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",495,28,17.68,,570,False
human_essay_002_essay3,"Ever since it was first invented, the automobile has proved to be very important and practical for people all over the globe. In the current century, however, the demand for the car has begun to see a potential disappearance, as people are beginning to discover that there are advantages to minimizing their dependence on their vehicles. Limiting car usage has several very influential advantages, such as increasing mental health, reducing air pollution, and eliminating problems associated with traffic.

First of all, studies have proven that the use of automobiles is linked to the levels of stress and unhappiness that people feel. Source one elaborates on this by discussing a city in Germany that decided to give up cars. It quotes a woman who says that when she had a car she was always tense, but living in Vauban the car free city has made her much happier. She is able to walk or bike everywhere that she needs to be in town. This opportunity to increase happiness is also mentioned in source three, which quotes a businessman who says that limiting car usage is ""a good opportunity to take away stress."" The alternative he choses is to ride a tandem bike with his wife. This allows for more bonding with his wife as well as increasing their physical health, which plays a vital role in mental health as well.

As of recently, the impact that cars have on the environment has gained more attention as well as increased concern. All vehicles emit greenhouse gasses, which are very harmful to the environment, causing smog and damage to the atmosphere. According to source one, limiting the use of passenger cars could reduce total greenhouse gas emissions by up to 50 percent. Source two describes how the accumulation of smog in Paris became so bad that it caused official bans on the use of cars. It took an entire week of restricting car usage to get the smog to clear up. Source four also agrees that the results of limiting car usage would have beneficial implications for carbon emissions and the environment. Source one mentions that as a result of all of this, the Enviromental Protection Agency in the United States is promoting car reduced communities.

Lastly, limiting car usage eliminates all problems associated with traffic. Traffic creates many problems for people, from increasing danger to wasting time. Limiting car usage would immidately reduce traffic substantially. This could prevent people from being stuck on their way home during rushhour every day. Having cars speeding by, in residential areas especially, increases the level of danger for pedestrians. There are many casualties that happen every year due to automobile accidents. Limiting car usage would easily eliminate this problem. It would also eliminate the problem of drunk driving and the dangers associated with it. Source four supports this claim by stating that limiting car usage would in fact improve safety.

Limiting car usage has many advantages, and therefore should definately be taken into consideration. Doing this would not only increase mental health and wellbeing, but would also save time, conserve resources, lower emissions, and improve safety.",0,human_kaggle,essay,essay_002,Four-Day Work Week,"Write an argumentative essay on 'Four-Day Work Week'.\n\nYour essay should:\n- Discuss the following aspects: employee mental health, corporate productivity, economic implications, work-life balance\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",520,28,18.57,,575,False
human_essay_002_essay4,"In today's society, when people are asked if they would give up their cars, they would be shocked. No would be the most common answer. However, the advantages of limiting car usage are great. General stress decreases, and pollution to the environment also decreases. People are not only helping themselves, but also helping the ecosystem.

Stress. Everyone has it but what if it could be decreased just by using personal transportation less? In Germany, there are certain communities that ban car usage. No cars are allowed inside the city. Street parking, driveways, and home garages have become obsolete. One citizen of one of the towns said, ""When I had a car I was always tense. I'm much happier this way"" . The anxiety one gets when driving a car is almost unreal. Most kids 16 and up now just do not get their licenses just because the thought of driving scares them. Citizens of cities that have just one day where cares are prohibited, such as Bogota, Colombia, love that singular day out of the year. Most say its a good opportunity to increase mental health Carfree day is spinning into a big hit in Bogota . Stress not only is awful for mental health, but also physical. 75% of those who have high levels of anxiety, or are exposed to it, are tired all the time, often feel weak, or sometimes may even cause heart issues. The number one reason people have stress is by driving. So using cars less is the best way to decrease stress, and promote good mental health.

Most people that read or watch the news know that the environment is hurt, and that the human population is at fault. How? Excess usage of motor vehicles. As stated in In German suburb, Life Goes On Without Cars , passenger cars are responsible for 12% of greenhouse gas emissions in Europe, and up to 50% in some carintensive areas in the United States. These statistics are horrible. Paris, France enforced a partial driving ban to clear the air of the global city after days of nearrecord pollution rates Not only was nature being hurt, but the population of France. Breathing in smog is unnatural. theman body can not take that many pollutants, and so it tries to fix itself. In doing this, lung cancer rates rise, pneumonia rates rise, diseases in general become more abundant. Paris took action. When enforcing the driving ban, congestion was down 60% in just five days. The only partial solution to this rising amount of smog is to decrease driving rates, and to use deisel gas less. I hate this test so much why am I even writing this I feel like a robot just going through the motions and its your fault. I blame you.

Rome was not built in a day, so getting state legislatiors or even government officials to agree on a partial driving rule may take a while. However, citizens can spread the word of the evils of driving. You, dear reader, can fix this problem. Try carpooling to work, riding your bike to places near you instead of driving. Do what you can to reduce pollution and stress. Influence your friends and family to do the same. Together, we can rase awareness of the evils of driving. Together, we can rule the world.",0,human_kaggle,essay,essay_002,Four-Day Work Week,"Write an argumentative essay on 'Four-Day Work Week'.\n\nYour essay should:\n- Discuss the following aspects: employee mental health, corporate productivity, economic implications, work-life balance\n- Present a balanced argument with multiple perspectives\n- Provide reasoning and examples where appropriate\n- Conclude with a clear position",554,42,13.19,,641,False
